course,title,credits,prereqs
CSCI-1120,Low-Level Computing,1,CSCI-1311
CSCI-1300,Essential Information Technology,3,
CSCI-1304,Computers and Society,3,
CSCI-1311,Introduction to Programming Logic,3,
CSCI-1312,Introduction to Programming for Engineering,3,
CSCI-1320,Principles of Computer Science I,3,
CSCI-1321,Principles of Computer Science II,3,CSCI-1320
CSCI-1323,Discrete Structures,3,CSCI-1311
CSCI-2094,Computer Science Colloquium,0,
CSCI-2195,Competitive Programming,1,CSCI-1320
CSCI-2320,Principles of Data Abstraction,3,CSCI-1321
CSCI-2321,Principles of Computer Design,3,CSCI-1321
CSCI-2322,Principles of Functional Languages,3,CSCI-1311 CSCI-1312 CSCI-1320
CSCI-2323,Scientific Computing,3,CSCI-1320
CSCI-2324,Numerical Calculus,3,CSCI-1320
CSCI-3090,Directed Study,0,CSCI-1323 CSCI-2320
CSCI-3094,Seminar,0,CSCI-1323 CSCI-2320
CSCI-3190,Directed Study,1,CSCI-1323 CSCI-2320
CSCI-3193,Special Topics in Theory,1,CSCI-1321 CSCI-1323
CSCI-3194,Seminar,1,CSCI-1323 CSCI-2320
CSCI-3195,Special Topics in Applications,1,CSCI-1321 CSCI-1323
CSCI-3196,Special Topics Systems,1,CSCI-1321 CSCI-1323
CSCI-3197,Special Topics in Design,1,CSCI-1321 CSCI-1323
CSCI-3215,Advanced Unix Command-Line Tools,2,CSCI-1320
CSCI-3290,Directed Study,2,CSCI-1323 CSCI-2320
CSCI-3293,Special Topics in Theory,2,CSCI-1321 CSCI-1323
CSCI-3294,Seminar,2,CSCI-1323 CSCI-2320
CSCI-3295,Special Topics in Applications,2,CSCI-1321 CSCI-1323
CSCI-3296,Special Topics Systems,2,CSCI-1321 CSCI-1323
CSCI-3297,Special Topics in Design,2,CSCI-1321 CSCI-1323
CSCI-3311,Information Assurance and Security,3,CSCI-1321
CSCI-3312,Introduction to Game Development,3,CSCI-2320 CSCI-3321
CSCI-3320,Principles of Theoretical Computer Science,3,CSCI-1323
CSCI-3321,Principles of Software Engineering,3,CSCI-2320 CSCI-1323
CSCI-3322,Principles of Algorithms,3,CSCI-2320
CSCI-3323,Principles of Operating Systems,3,CSCI-2321
CSCI-3334,Compiler Construction,3,CSCI-2321
CSCI-3342,Computer & Network Security,3,CSCI-2320
CSCI-3343,Database Systems,3,CSCI-2320
CSCI-3344,Artificial Intelligence,3,CSCI-1323 CSCI-2320
CSCI-3345,Web Application Design,3,CSCI-2320 CSCI-3321 CSCI-1321 CSCI-3321
CSCI-3351,Numerical Analysis I,3,CSCI-1321
CSCI-3353,Graphics,3,CSCI-2320
CSCI-3354,Big Data and Machine Learning,3,CSCI-1321
CSCI-3361,Analysis of Algorithms,3,CSCI-1321 CSCI-1323
CSCI-3362,Effective Programming Techniques,3,CSCI-2320 CSCI-3321
CSCI-3366,Parallel and Distributed Programming,3,CSCI-2320
CSCI-3368,Principles of Programming Languages,3,CSCI-2320 CSCI-2322
CSCI-3390,Directed Study,3,CSCI-1323 CSCI-2320
CSCI-3393,Special Topics in Theory,3,CSCI-1321 CSCI-1323
CSCI-3394,Seminar,3,CSCI-1323 CSCI-2320
CSCI-3395,Special Topics in Applications,3,CSCI-1321 CSCI-1323
CSCI-3396,Special Topics Systems,3,CSCI-1321 CSCI-1323
CSCI-3397,Special Topics in Design,3,CSCI-1321 CSCI-1323
CSCI-3398,Thesis Reading,3,CSCI-1323 CSCI-2320
CSCI-3490,Directed Study,4,CSCI-1323 CSCI-1323 CSCI-2320 CSCI-2320
CSCI-3590,Directed Study,5,CSCI-1323 CSCI-2320
CSCI-3690,Directed Study,6,CSCI-1323 CSCI-2320
CSCI-4312,Advanced Game Development,3,CSCI-3312
CSCI-4353,Advanced Graphics,3,CSCI-3353
CSCI-4365,Advanced Theoretical Computer Science,3,CSCI-3320
CSCI-4385,Senior Software Project I,3,CSCI-9999
CSCI-4386,Senior Software Project II,3,CSCI-4385
CSCI-4398,Thesis I,3,CSCI-3398
CSCI-4399,Thesis II,3,CSCI-4398